2021-06-21 21:06:47.726 +02:00 [INF] , 2021-04-01_06-42-03_696.jpg, car, 67 %
2021-06-21 21:06:48.143 +02:00 [INF] , 2021-04-01_06-42-03_897.jpg, car, 57 %
2021-06-21 21:06:48.527 +02:00 [INF] , 2021-04-01_06-42-04_095.jpg, car, 53 %
2021-06-21 21:06:48.531 +02:00 [INF] , 2021-04-01_06-42-04_095.jpg, car, 45 %
2021-06-21 21:06:48.834 +02:00 [INF] , 2021-04-01_06-42-04_296.jpg, car, 72 %
2021-06-21 21:06:49.146 +02:00 [INF] , 2021-04-01_06-42-04_540.jpg, car, 75 %
2021-06-21 21:06:50.531 +02:00 [INF] , 2021-04-01_06-47-09_020.jpg, person, 35 %
2021-06-21 21:06:50.960 +02:00 [INF] , 2021-04-01_06-47-09_217.jpg, person, 44 %
2021-06-21 21:06:51.747 +02:00 [INF] , 2021-04-01_06-47-09_820.jpg, car, 70 %
2021-06-21 21:06:51.752 +02:00 [INF] , 2021-04-01_06-47-09_820.jpg, car, 68 %
2021-06-21 21:06:51.757 +02:00 [INF] , 2021-04-01_06-47-09_820.jpg, person, 42 %
2021-06-21 21:06:52.099 +02:00 [INF] , 2021-04-01_06-47-10_028.jpg, car, 68 %
2021-06-21 21:06:52.104 +02:00 [INF] , 2021-04-01_06-47-10_028.jpg, person, 36 %
2021-06-21 21:06:52.541 +02:00 [INF] , 2021-04-01_06-47-10_332.jpg, car, 79 %
2021-06-21 21:06:52.966 +02:00 [INF] , 2021-04-01_06-47-10_532.jpg, car, 77 %
2021-06-21 21:06:53.295 +02:00 [INF] , 2021-04-01_06-47-10_744.jpg, car, 71 %
2021-06-21 21:06:53.609 +02:00 [INF] , 2021-04-01_06-47-11_056.jpg, car, 83 %
2021-06-21 21:06:53.964 +02:00 [INF] , 2021-04-01_06-47-11_250.jpg, car, 51 %
2021-06-21 21:06:54.802 +02:00 [INF] , 2021-04-01_06-47-11_978.jpg, car, 31 %
2021-06-21 21:06:55.055 +02:00 [INF] , 2021-04-01_06-47-12_251.jpg, car, 53 %
2021-06-21 21:06:55.686 +02:00 [INF] , 2021-04-01_06-52-16_300.jpg, person, 34 %
2021-06-21 21:06:55.942 +02:00 [INF] , 2021-04-01_06-52-16_569.jpg, car, 51 %
2021-06-21 21:06:55.947 +02:00 [INF] , 2021-04-01_06-52-16_569.jpg, car, 32 %
2021-06-21 21:06:56.194 +02:00 [INF] , 2021-04-01_06-52-16_813.jpg, car, 57 %
2021-06-21 21:06:56.200 +02:00 [INF] , 2021-04-01_06-52-16_813.jpg, car, 33 %
2021-06-21 21:06:56.519 +02:00 [INF] , 2021-04-01_06-52-17_099.jpg, car, 95 %
2021-06-21 21:06:57.043 +02:00 [INF] , 2021-04-01_06-52-17_291.jpg, car, 71 %
2021-06-21 21:06:57.364 +02:00 [INF] , 2021-04-01_06-52-17_611.jpg, car, 75 %
2021-06-21 21:06:57.659 +02:00 [INF] , 2021-04-01_06-52-17_811.jpg, car, 85 %
2021-06-21 21:06:57.989 +02:00 [INF] , 2021-04-01_06-52-18_144.jpg, car, 85 %
2021-06-21 21:06:58.269 +02:00 [INF] , 2021-04-01_06-52-18_331.jpg, car, 61 %
2021-06-21 21:06:58.635 +02:00 [INF] , 2021-04-01_06-52-18_533.jpg, car, 49 %
2021-06-21 21:06:58.955 +02:00 [INF] , 2021-04-01_06-52-18_817.jpg, car, 49 %
2021-06-21 21:06:58.961 +02:00 [INF] , 2021-04-01_06-52-18_817.jpg, car, 35 %
2021-06-21 21:06:59.374 +02:00 [INF] , 2021-04-01_06-52-19_142.jpg, car, 82 %
2021-06-21 21:06:59.691 +02:00 [INF] , 2021-04-01_06-52-19_333.jpg, car, 68 %
2021-06-21 21:07:00.629 +02:00 [INF] , 2021-04-01_07-00-30_947.jpg, car, 32 %
2021-06-21 21:07:00.907 +02:00 [INF] , 2021-04-01_07-00-31_263.jpg, car, 64 %
2021-06-21 21:07:00.915 +02:00 [INF] , 2021-04-01_07-00-31_263.jpg, car, 46 %
2021-06-21 21:07:01.223 +02:00 [INF] , 2021-04-01_07-00-31_577.jpg, car, 96 %
2021-06-21 21:07:01.507 +02:00 [INF] , 2021-04-01_07-00-31_783.jpg, car, 83 %
2021-06-21 21:07:01.821 +02:00 [INF] , 2021-04-01_07-00-32_054.jpg, car, 61 %
2021-06-21 21:07:01.826 +02:00 [INF] , 2021-04-01_07-00-32_054.jpg, car, 46 %
2021-06-21 21:07:02.134 +02:00 [INF] , 2021-04-01_07-00-32_372.jpg, car, 91 %
2021-06-21 21:07:02.391 +02:00 [INF] , 2021-04-01_07-00-32_573.jpg, car, 88 %
2021-06-21 21:07:02.697 +02:00 [INF] , 2021-04-01_07-00-32_775.jpg, car, 89 %
2021-06-21 21:07:02.917 +02:00 [INF] , 2021-04-01_07-00-33_043.jpg, car, 53 %
2021-06-21 21:07:03.180 +02:00 [INF] , 2021-04-01_07-00-33_293.jpg, car, 59 %
2021-06-21 21:07:03.463 +02:00 [INF] , 2021-04-01_07-00-33_572.jpg, car, 71 %
2021-06-21 21:07:03.468 +02:00 [INF] , 2021-04-01_07-00-33_572.jpg, car, 47 %
2021-06-21 21:07:03.695 +02:00 [INF] , 2021-04-01_07-00-33_776.jpg, car, 74 %
2021-06-21 21:07:03.977 +02:00 [INF] , 2021-04-01_07-16-27_626.jpg, person, 37 %
2021-06-21 21:07:04.576 +02:00 [INF] , 2021-04-01_07-16-28_142.jpg, person, 32 %
2021-06-21 21:07:05.615 +02:00 [INF] , 2021-04-01_07-17-33_994.jpg, cat, 35 %
2021-06-21 21:07:06.182 +02:00 [INF] , 2021-04-01_07-17-34_473.jpg, person, 32 %
2021-06-21 21:07:06.517 +02:00 [INF] , 2021-04-01_07-17-36_240.jpg, person, 38 %
2021-06-21 21:07:07.551 +02:00 [INF] , 2021-04-01_07-17-39_167.jpg, person, 40 %
2021-06-21 21:07:07.792 +02:00 [INF] , 2021-04-01_07-17-50_053.jpg, person, 40 %
2021-06-21 21:07:08.596 +02:00 [INF] , 2021-04-01_07-20-59_429.jpg, person, 48 %
2021-06-21 21:07:08.879 +02:00 [INF] , 2021-04-01_07-20-59_649.jpg, motorbike, 39 %
2021-06-21 21:07:09.645 +02:00 [INF] , 2021-04-01_07-21-00_168.jpg, person, 47 %
2021-06-21 21:07:10.252 +02:00 [INF] , 2021-04-01_07-34-06_255.jpg, car, 62 %
2021-06-21 21:07:10.259 +02:00 [INF] , 2021-04-01_07-34-06_255.jpg, car, 30 %
2021-06-21 21:07:10.646 +02:00 [INF] , 2021-04-01_07-34-06_579.jpg, car, 84 %
2021-06-21 21:07:10.955 +02:00 [INF] , 2021-04-01_07-34-06_899.jpg, truck, 47 %
2021-06-21 21:07:10.963 +02:00 [INF] , 2021-04-01_07-34-06_899.jpg, car, 46 %
2021-06-21 21:07:11.229 +02:00 [INF] , 2021-04-01_07-34-07_169.jpg, truck, 68 %
2021-06-21 21:07:11.464 +02:00 [INF] , 2021-04-01_07-34-07_371.jpg, truck, 67 %
2021-06-21 21:07:11.733 +02:00 [INF] , 2021-04-01_07-34-07_599.jpg, truck, 83 %
2021-06-21 21:07:12.230 +02:00 [INF] , 2021-04-01_07-34-07_896.jpg, truck, 72 %
2021-06-21 21:07:12.542 +02:00 [INF] , 2021-04-01_07-34-08_213.jpg, truck, 51 %
2021-06-21 21:07:12.819 +02:00 [INF] , 2021-04-01_07-34-08_490.jpg, truck, 61 %
2021-06-21 21:07:13.129 +02:00 [INF] , 2021-04-01_07-34-08_691.jpg, truck, 71 %
2021-06-21 21:07:13.386 +02:00 [INF] , 2021-04-01_07-34-08_893.jpg, truck, 43 %
2021-06-21 21:07:13.691 +02:00 [INF] , 2021-04-01_07-34-09_131.jpg, car, 41 %
2021-06-21 21:07:13.697 +02:00 [INF] , 2021-04-01_07-34-09_131.jpg, truck, 37 %
2021-06-21 21:07:14.013 +02:00 [INF] , 2021-04-01_07-34-09_331.jpg, car, 77 %
2021-06-21 21:07:14.022 +02:00 [INF] , 2021-04-01_07-34-09_331.jpg, truck, 34 %
2021-06-21 21:07:14.497 +02:00 [INF] , 2021-04-01_07-34-09_585.jpg, car, 82 %
2021-06-21 21:07:14.857 +02:00 [INF] , 2021-04-01_07-34-09_813.jpg, truck, 60 %
2021-06-21 21:07:15.133 +02:00 [INF] , 2021-04-01_07-34-10_131.jpg, truck, 57 %
2021-06-21 21:07:15.139 +02:00 [INF] , 2021-04-01_07-34-10_131.jpg, truck, 53 %
2021-06-21 21:07:15.418 +02:00 [INF] , 2021-04-01_07-34-10_336.jpg, car, 52 %
2021-06-21 21:07:15.424 +02:00 [INF] , 2021-04-01_07-34-10_336.jpg, car, 44 %
2021-06-21 21:07:15.430 +02:00 [INF] , 2021-04-01_07-34-10_336.jpg, truck, 42 %
2021-06-21 21:07:15.436 +02:00 [INF] , 2021-04-01_07-34-10_336.jpg, truck, 39 %
2021-06-21 21:07:15.704 +02:00 [INF] , 2021-04-01_07-34-10_536.jpg, car, 85 %
2021-06-21 21:07:15.711 +02:00 [INF] , 2021-04-01_07-34-10_536.jpg, car, 84 %
2021-06-21 21:07:16.036 +02:00 [INF] , 2021-04-01_07-34-10_872.jpg, car, 48 %
2021-06-21 21:07:16.046 +02:00 [INF] , 2021-04-01_07-34-10_872.jpg, car, 30 %
